CONTAINER ID        IMAGE                                          COMMAND                  CREATED             STATUS                PORTS                                                                     NAMES
3527352b4fb3        daytonaio/daytona-api                          "node dist/apps/api/…"   5 days ago          Up 5 days (healthy)   0.0.0.0:3000->3000/tcp                                                    daytona-api-1
62a8ad595c2f        dpage/pgadmin4:9.2.0                           "sh -c 'chmod 600 /p…"   5 days ago          Up 5 days             443/tcp, 0.0.0.0:5050->80/tcp                                             daytona-pgadmin-1
76b0a3c63452        maildev/maildev                                "bin/maildev"            5 days ago          Up 5 days (healthy)   1025/tcp, 0.0.0.0:1080->1080/tcp                                          daytona-maildev-1
574621655cf2        daytonaio/daytona-runner:v2                    "sh -c '/usr/local/b…"   5 days ago          Up 5 days (healthy)   2375-2376/tcp, 0.0.0.0:3003->3003/tcp                                     daytona-runner-1
fc19ca45b834        joxit/docker-registry-ui:main                  "/docker-entrypoint.…"   5 days ago          Up 5 days             0.0.0.0:5100->80/tcp                                                      daytona-registry-ui-1
d43624cadb07        dexidp/dex:v2.42.0                             "sh -c 'touch /var/d…"   5 days ago          Up 5 days (healthy)   0.0.0.0:5556->5556/tcp                                                    daytona-dex-1
eea3ce12f317        minio/minio:latest                             "/usr/bin/docker-ent…"   5 days ago          Up 5 days             9000/tcp, 0.0.0.0:9001->9001/tcp                                          daytona-minio-1
8dd2b929e34f        postgres:18                                    "docker-entrypoint.s…"   5 days ago          Up 5 days             5432/tcp                                                                  daytona-db-1
fa44b4943287        registry:2.8.2                                 "/entrypoint.sh /etc…"   5 days ago          Up 5 days             5000/tcp, 0.0.0.0:6000->6000/tcp                                          daytona-registry-1
869256c78493        jaegertracing/all-in-one:1.67.0                "/go/bin/all-in-one-…"   5 days ago          Up 5 days             4317-4318/tcp, 9411/tcp, 14250/tcp, 14268/tcp, 0.0.0.0:16686->16686/tcp   daytona-jaeger-1
7e530e8dd532        otel/opentelemetry-collector-contrib:0.138.0   "/otelcol-contrib --…"   5 days ago          Up 5 days             4317-4318/tcp, 55679/tcp                                                  daytona-otel-collector-1
7ff333435351        daytonaio/daytona-ssh-gateway                  "daytona-ssh-gateway"    5 days ago          Up 5 days             0.0.0.0:2222->2222/tcp                                                    daytona-ssh-gateway-1
7cbd36cd7e28        daytonaio/daytona-proxy                        "daytona-proxy"          5 days ago          Up 5 days (healthy)   0.0.0.0:4000->4000/tcp                                                    daytona-proxy-1
85a900c5c419        redis:latest                                   "docker-entrypoint.s…"   5 days ago          Up 5 days             6379/tcp
