CONTAINER ID        IMAGE                                          COMMAND                  CREATED             STATUS                PORTS                                                                     NAMES
047aed8f9725   public.ecr.aws/supabase/postgres:15.6.1.139       "sh -c '\ncat <<'EOF'…"   10 days ago   Up 10 days (healthy)   0.0.0.0:54322->5432/tcp, :::54322->5432/tcp                                      supabase_db_agentpress
1fd4cc1de57c   public.ecr.aws/supabase/studio:20241202-71e5240   "docker-entrypoint.s…"    10 days ago   Up 10 days (healthy)   0.0.0.0:54323->3000/tcp, :::54323->3000/tcp                                      supabase_studio_agentpress
ddef464cb879   public.ecr.aws/supabase/postgres-meta:v0.84.2     "docker-entrypoint.s…"    10 days ago   Up 10 days (healthy)   8080/tcp                                                                         supabase_pg_meta_agentpress
45fe4adbfa25   public.ecr.aws/supabase/imgproxy:v3.8.0           "imgproxy"                10 days ago   Up 10 days (healthy)   8080/tcp                                                                         supabase_imgproxy_agentpress
e2a6ef1df696   public.ecr.aws/supabase/storage-api:v1.11.13      "docker-entrypoint.s…"    10 days ago   Up 10 days (healthy)   5000/tcp                                                                         supabase_storage_agentpress
b0b5122eed1b   public.ecr.aws/supabase/postgrest:v12.2.0         "postgrest"               10 days ago   Up 10 days             3000/tcp                                                                         supabase_rest_agentpress
1153ba9698ae   public.ecr.aws/supabase/realtime:v2.33.58         "/usr/bin/tini -s -g…"    10 days ago   Up 10 days (healthy)   4000/tcp                                                                         supabase_realtime_agentpress
d3c7dc5cb56d   public.ecr.aws/supabase/inbucket:3.0.3            "/start-inbucket.sh …"    10 days ago   Up 10 days (healthy)   1100/tcp, 2500/tcp, 0.0.0.0:54324->9000/tcp, :::54324->9000/tcp                  supabase_inbucket_agentpress
88902706c96f   public.ecr.aws/supabase/gotrue:v2.164.0           "auth"                    10 days ago   Up 10 days (healthy)   9999/tcp                                                                         supabase_auth_agentpress
6599f281d87b   public.ecr.aws/supabase/kong:2.8.1                "sh -c 'cat <<'EOF' …"    10 days ago   Up 10 days (healthy)   8001/tcp, 8088/tcp, 8443-8444/tcp, 0.0.0.0:54321->8000/tcp, :::54321->8000/tcp   supabase_kong_agentpress
70b821b29c36   public.ecr.aws/supabase/vector:0.28.1-alpine      "sh -c 'cat <<'EOF' …"    10 days ago   Up 10 days (healthy)                                                                                    supabase_vector_agentpress
615641bf72a6   public.ecr.aws/supabase/logflare:1.4.0            "sh -c 'cat <<'EOF' …"    10 days ago   Up 10 days (healthy)   0.0.0.0:54327->4000/tcp, :::54327->4000/tcp                                      supabase_analytics_agentpress
